Q184485|performing arts
Q2217301|serial
Q232932|open access
Q142714|card game
Q11755959|multi-storey urban building
Q1788992|criminal organization
Q5382940|epigroup
Q20014246|public law corporation
Q8059357|youth wing
Q1047113|specialty
Q37901|strait
Q21190845|fictional duo
Q1196054|administrative territorial entity of Ethiopia
Q191928|polysemy
Q44637051|international competition
Q4162386|operating system distribution
Q184872|recreation
Q3055454|deployment environment
Q3327899|municipality of Ontario
Q2200141|organofluorine
Q2656967|nuclear explosion
Q346146|facility
Q732717|law enforcement agency
Q1184244|delict
Q47272186|headquarters
Q25535646|hero
Q3622126|conceptual system
Q22811462|type of manufactured good
Q10843872|engineering process
Q86860|Bible translation
Q23005232|dance school
Q79602|cyclone
Q3778211|legal person
Q1914636|activity
Q3041498|eye disease
Q273120|protest
Q55155149|specification edition
Q6664682|locally finite group
Q9143|programming language
Q3507889|administrative territorial entity of the Czech Republic
Q170156|confederation
Q8253|fiction
Q131656|pesticide
Q1620824|nuclear accident
Q15053549|gravitationally bound system
Q3059255|Greek sea god
Q28555911|ordinary matter
Q20575671|Q20575671
Q988108|club
Q2352616|catalogue
Q205985|goddess
Q21945604|national youth football team
Q55523831|monocation
Q3249551|process
Q167772|digital container format
Q7096323|open-access repository
Q61476|fatty acid
Q55386700|Roman Catholic shrine
Q24398318|religious building
Q2824645|administrative territorial entity of Italy
Q1155083|granular material
Q618779|award
Q15921555|flight
Q855769|strain
Q7390|human voice
Q7743|home
Q3244175|tabletop game
Q24596|God Is Not Great
Q57660343|performing arts building
Q315|language
Q3533467|group action
Q1077784|programming tool
Q2761147|meeting
Q210272|cultural heritage
Q844911|superior planet
Q3366856|composite particle
Q2235308|ship type
Q19953632|former administrative territorial entity
Q4120621|rank
Q14502790|settlement of Hungary
Q2622299|software engine
Q1040689|synonym (taxonomy)
Q1445650|holiday
Q223642|interpersonal relationship
Q838948|work of art
Q3947|house
Q16735822|history museum
Q937228|property
Q2239243|mythical creature
Q82794|geographic region
Q1322786|exterior
Q23804016|game rules
Q9135|operating system
Q205892|calendar date
Q192498|administrative territorial entity of France
Q19576|wilayah
Q1664720|institute
Q50430121|pharmaceutic aid
Q2199864|duration
Q76611|nonviolence
Q17343829|unincorporated community
Q107390|federated state
Q576759|Public Ivy
Q6942541|musical collective
Q123737|Emmy Award
Q5588651|governing body
Q2120578|zero-emissions vehicle
Q4006|geographic map
Q11424100|status
Q56808349|language status
Q7868|cell
Q18603731|dissolution
Q15416|television program
Q84823091|region of Ukraine
Q5916|spaceflight
Q17537576|creative work
Q5153359|municipality of the Czech Republic
Q34763|peninsula
Q64953083|car-free place
Q134830|prefix
Q3477348|urban sector
Q431289|brand
Q16884952|country house
Q2742167|religious community
Q23013246|copy
Q796194|medical procedure
Q74562064|aromatic amide
Q1344|opera
Q55214844|type of medical procedure
Q494823|data format
Q20919931|software component
Q337820|graphics library
Q48834899|special administrative region
Q20719696|physico-geographical object
Q66089252|pharmaceutical preparation
Q28111|township in the United States
Q15078788|broadcasting
Q2879|province or territory of Canada
Q1307214|form of government
Q15711870|animated character
Q41710|ethnic group
Q1424016|cableway
Q61748301|friendly tournament
Q47657|blood type
Q399495|standard language
Q16686448|artificial entity
Q18691599|military facility
Q3183364|administrative territorial entity of Spain
Q15619164|abstract being
Q856584|library building
Q1049394|phonetic writing system
Q15548076|computer-aided design software
Q497173|oxoacid
Q370502|mapping
Q40890790|absorbed or reflected object light
Q38348|phylum
Q1642895|lineage
Q122653|numeral system
Q85249348|territorial change
Q3559|comet
Q483677|pseudoscience
Q269528|unincorporated area
Q5043|Christianity
Q24649023|online store
Q350945|heraldic animal
Q64225319|bird
Q4220917|film award
Q14864997|investment management
Q1132455|hazard
Q15644911|administrative territorial entity of the Roman Empire
Q263478|note
Q30277550|historiography
Q515483|baladiyah
Q60026969|unit of concentration
Q19798644|Wikibase data model element
Q15142894|weapon model
Q6671777|structure
Q15401930|product
Q3754509|Q3754509
Q217199|soundtrack
Q72695611|chlorine compound
Q19842652|monotheistic religion
Q1088986|Q1088986
Q1150958|play
Q1790577|planned language
Q427492|enzyme inhibitor
Q28114058|game franchise
Q42372|nebula
Q16829513|intermediate product
Q15720793|fictional building
Q2183520|obec
Q131841|idea
Q5389993|philosophical theory
Q3329375|language variety
Q3702971|personal data
Q3391202|Q3391202
Q30092755|surface water body
Q1020767|product bundling
Q985394|editor
Q1211529|overseas territory
Q421948|organic acid
Q1048295|Cassegrain mirror system
Q17538690|group of manifestations
Q15198957|aspect of music
Q2401749|telecommunication company
Q281643|trio
Q27825487|animate object
Q2334719|legal case
Q1977474|Al-Ghaib
Q10822464|angel in Christianity
Q1744559|classification in sports
Q681615|syndicate
Q602446|lyrics
Q353834|pulsating variable star
Q685884|vocal music
Q50349184|immunologic factor
Q3330995|administrative territorial entity of Nigeria
Q1128637|national symbol
Q1235234|document repository
Q245065|intergovernmental organization
Q978297|binary system
Q2325323|state symbol
Q980357|grammatical category
Q29553|sanctuary
Q21199|natural number
Q23901123|national under-17 association football team
Q290|sex
Q747883|physical activity
Q15285626|organization established by the United Nations
Q27030921|political archive
Q1931185|astronomical radio source
Q13414953|religious denomination
Q1196038|groupoid
Q20901727|alkynols
Q1318558|operation point
Q2784655|low-level clouds
Q17350442|venue
Q2138556|regional newspaper
Q2424752|product
Q26697606|cyclooxygenase inhibitor
Q337567|still waters
Q11578774|broadcasting program
Q1019982|subdivision of Rome
Q2115448|intra-city territory of a federal city
Q7631065|Subdivisions of Mozambique
Q50085590|Federal law
Q1792379|art genre
Q24229398|agent
Q169872|symptom
Q2635077|sources of international law
Q1464125|webisode
Q1076579|act of parliament
Q23807345|competition
Q200209|cities of Ukraine
Q12132|calendar
Q15916867|administrative territorial entity of a single country
Q2659904|government organization
Q15089865|cable railway
Q144|dog
Q29142|attempt
Q8473|military
Q2438179|civil aircraft
Q4504495|award ceremony
Q46970|airline
Q163740|nonprofit organization
Q149010|trilogy
Q141683|broadcast network
Q8261440|canal for transporting water
Q3695082|sign
Q78908682|security risk
Q206021|flight
Q655686|commercial building
Q1456832|offense
Q47168|county of the United States
Q64222248|catalog of works
Q3030248|discussion
Q482994|album
Q1762059|film production company
Q37113960|estimate
Q6664400|local government in New Jersey
Q15989253|part of
Q1291195|find spot
Q1763527|constituent state
Q2315359|historical language
Q63203971|religious hymn
Q15091377|cycling race
Q3504248|inner planet
Q68773434|center
Q1079693|national emblem
Q19860854|former building or structure
Q34486|helicopter
Q2752458|administrative type
Q32815|mosque
Q27267085|fictional lion
Q151885|concept
Q5064153|ceremonial dress
Q45971958|performing arts genre
Q546113|public policy
Q43229|organization
Q1151067|rule
Q24354|theatre
Q1076882|battery electric vehicle
Q1194951|national sports team
Q380230|administrative territorial entity of Portugal
Q131269|sonata
Q15711026|altarpiece
Q60754876|grade of an order
Q11204|legislature
Q3578576|river ecosystem
Q161243|dependent territory
Q2064521|constituency in the United Kingdom
Q26832826|constituency of France
Q149377|military operation plan
Q1197685|public holiday
Q744296|wooden church
Q39811647|translation
Q3199915|massacre
Q207977|prototype
Q1007122|G
Q7217761|manned spacecraft
Q852446|administrative territorial entity of the United States
Q177626|human migration
Q2904042|bioconstruction
Q52177058|civic building
Q6918890|Moufang loop
Q3346693|Greek nymph
Q3563237|economic unit
Q7631075|administrative territorial entity of Switzerland
Q1790144|unit of time
Q30307315|mythological canine
Q1194970|dot-com company
Q28855038|supernatural being
Q23005223|division of an educational institution
Q978|meme
Q8425|society
Q5999593|General fraternity
Q650241|financial institution
Q4202290|railway incident
Q226730|silent film
Q2577883|occupied territory
Q2550974|Wasserfrau
Q1049540|administrative territorial entity of Northern Ireland
Q15634554|state with limited recognition
Q409205|xenobiotic
Q180516|room
Q22065637|administrative subdivision of Puerto Rico
Q50430472|steroid synthesis inhibitor
Q2031291|release
Q70208|municipality of Switzerland
Q10862338|scientific knowledge
Q19799234|local government
Q781132|military branch
Q48748864|Q48748864
Q1129645|trade bloc
Q13417114|noble family
Q83267|crime
Q699405|residence
Q11072804|musical ensemble consisting solely of instruments
Q15836568|computer network protocol
Q2041172|measuring instrument
Q4286337|city district
Q747074|comune of Italy
Q31184|sibling
Q159334|secondary school
Q16023913|professional certification
Q7328910|art collection
Q42622779|timepiece
Q788176|autonomous administrative territorial entity
Q1097273|epic literature
Q2159907|criminal
Q29428403|pentad
Q30061600|undead in a work of fiction
Q1364324|uyezd
Q11348|function
Q28653690|depository library
Q9492|probability
Q166142|application
Q3397572|metal bridge
Q1752346|assembly
Q1387659|school of thought
Q158438|arch bridge
Q217594|class (set theory)
Q12597599|aromatic carboxylic acid
Q2097994|municipal corporation
Q87167|manuscript
Q750215|mass murder
Q941501|language group
Q6807904|meeting house
Q732374|pyramidal number
Q12819564|station
Q4066270|Anilide
Q2983893|quarter
Q28020127|fictional humanoid
Q21040055|aspect
Q141488|graph
Q12348793|auxiliary language
Q355567|noble title
Q4140840|Lost artwork
Q35798|executive branch
Q18534542|restaurant chain
Q34548322|national association football competition
Q679692|biopharmaceutical
Q16917685|mobile computer
Q5398426|television series
Q21142755|recognition
Q7632070|substance use disorder
Q80831|integrated circuit
Q27301864|fictional bovid
Q813912|condition
Q34651|Christian Church
Q10856962|anthroponym
Q1365122|administrative territorial entity of Chile
Q200334|bell tower
Q28498244|conversion
Q23790|natural monument
Q15195406|city district in Russia
Q18534278|facial feature
Q24296329|mythological horse
Q1791627|cultural artifact
Q1631107|bibliography
Q1348645|learning material
Q5123997|city of federal subject significance of Russia
Q1584134|mound
Q843555|administrative territorial entity of the United Arab Emirates
Q15092400|independent city
Q25403900|food ingredient
Q4502142|visual artwork
Q21070568|human who may be fictional
Q33295419|Hogwarts student
Q214070|physical law
Q50413986|specialty use of chemicals
Q40231|election
Q27043948|material anatomical entity
Q17158079|terminal railway station
Q5633421|scientific journal
Q72053253|unconfirmed astronomical object
Q1414472|international human rights instrument
Q2642350|Jewish literature
Q25268|Afro-Asiatic languages
Q194195|amusement park
Q309314|quantity
Q42240|research
Q1323642|transcontinental country
Q39614|cemetery
Q18608583|recurring sporting event
Q851990|population group
Q5369651|historical source
Q732722|vortex
Q166118|archive
Q38259376|4-dimensional figure
Q147538|soft drink
Q1194368|capital ship
Q3957|town
Q11691318|Kulturdenkmal
Q7887142|unit of analysis
Q2101494|municipality in Switzerland
Q11042|culture
Q4204060|Islamic state
Q17232649|news website
Q3327873|local municipality of Quebec
Q2525994|villa urbana
Q255388|unit fraction
Q4189293|rank
Q81639|exonym
Q17573152|believer
Q6243|variable star
Q1068715|telecommunications network
Q1027098|fusor
Q165115|Equidae
Q811909|technological component
Q46135307|nation at sport competition
Q1198413|military camp
Q25412770|urban entity in Chile
Q18325841|public transport network
Q322563|vocational school
Q1394476|civil township
Q30224316|natural history collection
Q19478619|metaclass
Q16889133|class
Q31479975|communication system
Q681263|open standard
Q4116218|conversion of scripts
Q196294|free license
Q267228|sound generator
Q4120211|regional organization
Q8065|natural disaster
Q475050|federal district
Q12786121|warfare
Q892901|reward program
Q105731|lock
Q15562063|audio software
Q18127|record label
Q184767|Q184767
Q12594804|late effect
Q623109|sports league
Q1637706|city with millions of inhabitants
Q66502806|organ component gland
Q38033430|class of award
Q35116038|shoreline indentation
Q15911738|hydroelectric power station
Q2936105|summit level canal
Q359674|alternative school
Q6544379|lieutenancy area
Q902296|phytopharmaceuticals
Q50081413|Wikipedia article page
Q101352|family name
Q3306242|Pacific hurricane
Q5156940|oxygen compound
Q697295|shrine
Q28923954|languoid class
Q32635|domain name
Q42586063|encoder
Q63099748|hotel building
Q34442|road
Q14752696|Roman building
Q1753848|music workstation
Q21550582|entertainment event
Q62122079|organ component
Q336|science
Q6949149|mythic humanoid
Q2001982|notation
Q21550989|signal tower
Q48612|synthetic language
Q63046488|mythical ethnic group
Q7882311|unary function
Q1496857|prayer book
Q262166|municipality of Germany
Q63188683|Christian religious occupation
Q1172540|data stream
Q24992028|musical series
Q104157|city of the Philippines
Q1454986|physical system
Q24249534|specialised classification scheme
Q1656682|event
Q2088357|musical ensemble
Q309|history
Q2135465|legal concept
Q2974105|digital circuit
Q1046088|hall of fame
Q2762194|local government in Israel
Q17310396|administrative territorial entity of the Russian Empire
Q12044624|periodic process
Q212805|digital library
Q6428674|era
Q7930989|city/town
Q3150005|legal instrument
Q83620|thoroughfare
Q930933|relation
Q244393|dwarf star
Q1940786|quasi-autonomous non-governmental organisation
Q70551253|cellular anatomical entity
Q61089180|part of municipality in Czechia
Q2063507|recreation area
Q107715|physical quantity
Q76419834|legal terminology
Q10756188|treasury
Q1787683|Kreishauptmannschaft
Q18810687|political institution
Q23015928|postgraduate degree
Q171|wiki
Q169336|mixture
Q904756|religious conversion
Q16710795|specialized higher education institution
Q3434769|macroregion
Q7550889|combat vehicle
Q408365|isocyanate
Q277759|book series
Q1051792|intelligence test
Q23764314|sports location
Q165|sea
Q11173|chemical compound
Q181394|nutrient
Q28886448|work with multiple executions
Q93288|contract
Q1115533|flammable object
Q23002042|private educational institution
Q2695280|technique
Q875255|non-standard positional numeral system
Q18247357|group of structures or buildings
Q63241860|streaming service
Q2245405|key event
Q4365210|flat figure
Q15911314|association
Q162633|academy
Q5422048|external risk
Q55292|administrative territorial entity of the German Democratic Republic
Q1792571|art prize
Q2488|spiral galaxy
Q192623|looting
Q2537|natural satellite
Q2006324|agreement
Q11364|hormone
Q10861296|zoocide
Q3824506|commercial treaty
Q344942|acyclic compound
Q1194058|disposable product
Q1250916|warrior
Q30324006|history of the city
Q190|God
Q3257916|animation software
Q2391834|development environment
Q58483088|choreographic work
Q187126|glycoprotein
Q635155|creator deity
Q955824|learned society
Q628179|trail
Q7278|political party
Q36496|ion
Q56708982|hydrogen compound
Q486972|human settlement
Q1155688|Thesaban
Q140686|chairperson
Q22865|independent city of Germany
Q71421787|hydroxides
Q89753576|assembly (the subject of article 11 ECHR)
Q1065579|costume accessory
Q1131329|grotto
Q193291|spirit
Q18643213|military equipment
Q63100492|Atlantic North, Eastern and Central Pacific Tropical Cyclones
Q4692|Renaissance
Q4164344|documentary
Q188860|software library
Q24869|feature film
Q12433046|Roman fortification
Q7623897|all-female band
Q1293536|administrative territorial entity of Serbia
Q1313923|kindred
Q18142|high-rise building
Q16979650|sibling group
Q6899005|monetary authority
Q13406463|Wikimedia list article
Q25276|isotope
Q628523|message
Q71266556|warfare and armed conflicts
Q856234|academic library
Q2679154|administrative territorial entity of Ivory Coast
Q17538722|performance work
Q2916333|flag day
Q173387|grave
Q791801|estimation process
Q184876|frame of reference
Q30139652|health care structure
Q3895768|fictional location
Q44476427|medical attribute
Q45762|dead language
Q875538|public university
Q3300024|natural building material
Q1459435|phrase
Q1053463|census geographic unit of Canada
Q2252077|shooting
Q21028957|Hochschule
Q42012695|measurand
Q200250|metropolis
Q79872|object-oriented programming
Q15633587|MediaWiki main-namespace page
Q6823473|meteorological disaster
Q327197|legal transaction
Q10528967|hydroxy acid
Q131708|plutocracy
Q1970725|natural region
Q3196|fire
Q30126005|hypothetical scientific object
Q5447188|solution
Q59544|intangible cultural heritage
Q408891|scientific law
Q62832|observatory
Q6549417|liminal being
Q5284036|Divided region
Q1200750|description
Q205961|skill
Q7321258|sea mark
Q774228|requirement
Q28737012|museum of culture
Q60790315|automorphism group
Q4936952|anatomical structure
Q18536132|coin object
Q5457310|flammable liquid
Q15221215|rugby league team
Q15138389|Wikimedia article page
Q178342|archangel
Q2836357|administrative territorial entity of Guatemala
Q3726309|public research institution
Q1211967|trait
Q10648343|duo
Q1244442|school building
Q3475123|navigation system
Q21014462|cell line
Q15298259|wizard in the Harry Potter universe
Q614112|number of entities
Q20708386|Notorious Markets
Q930164|conspiracy
Q481289|official residence
Q67008917|biological products
Q24060765|animal organ
Q922203|code of law
Q16675435|observance
Q17320256|physical process
Q12718609|statistical method
Q11253473|smart device
Q2722705|epicarp
Q532|village
Q15589476|population transfer
Q333936|nitrile
Q189567|food additive
Q1005416|federal agency
Q408386|inference
Q780909|dating method in archaeology
Q643815|metropolitan or non-metropolitan county of England
Q6156112|chronostratigraphic unit
Q16887380|group
Q56557118|use status
Q26907166|temporal entity
Q16391167|vessel
Q30017383|fictional organism
Q32528|monoterpene
Q2001305|television channel
Q55511397|monoatomic anion
Q5185279|poem
Q43702|federal state
Q11666901|nominal kinship
Q193599|supergiant
Q752870|motor vehicle
Q189533|academic degree
Q4070702|literary archetype
Q2182919|alphabetic writing system
Q25110971|distributed ledger
Q573|day
Q173235|analgesic
Q59244106|game publisher
Q35145743|human-made landform
Q15831598|fictional astronomical object
Q205140|infinite set
Q147276|proper noun
Q5961|X-ray binary
Q66736191|army unit
Q665487|diocese
Q1598075|noun class
Q1150070|change
Q12617225|religious literature
Q145273|polyamide
Q1520311|violent crime
Q164509|omnivore
Q185785|ammunition
Q10864048|first-level administrative country subdivision
Q4358176|council
Q2836947|animal feed
Q14757767|fourth-level administrative country subdivision
Q5773747|historic house
Q376799|transport infrastructure
Q2023214|political parties in Germany
Q35749|parliament
Q82955|politician
Q178712|state or territory of Australia
Q372436|statesperson
Q595871|star system
Q14514600|group of fictional characters
Q940|narcotic
Q264441|Bezirk
Q63100732|Northwest Pacific tropical cyclone
Q87252761|SI or accepted non-SI unit
Q107968|anion
Q1191085|orders of magnitude of numbers
Q190016|heparin
Q41614|constitutional monarchy
Q1665268|command
Q1052894|single-member district
Q20742825|cultural depiction
Q5961279|hypothetical planet
Q20724715|regional center of Germany
Q24862|short film
Q1250464|realm
Q25385534|hydrogen chalcogenide
Q22676603|federal system
Q837171|financial services
Q322948|subscription
Q44512|epidemic
Q393351|aggregator
Q36534|chemical reaction
Q50707|composite number
Q1510761|social change
Q15042137|administrative territorial entity of the Netherlands
Q15279749|tax noncompliance
Q175208|biotope
Q1233637|river mouth
Q2431196|audiovisual work
Q558941|administrative territorial entity of Yemen
Q50430248|Sensory System Agents
Q133156|colony
Q47089371|rugby union match
Q16467788|EU mission
Q243669|administrative territorial entity of Slovakia
Q60662171|hegemony
Q327333|government agency
Q180684|conflict
Q23010327|group of fictitious objects
Q29604895|superhuman quality
Q36161|set
Q2491498|pop group
Q15126956|administrative territorial entity of Nicaragua
Q1685451|student society
Q15709879|artwork series
Q358|heritage site
Q13406554|sports festival
Q2031836|Eastern Orthodox church
Q124734|rebellion
Q86622|governorate
Q55462971|fluvial landform
Q516751|polyketide
Q15265344|broadcaster
Q7075|library
Q533309|administrative territorial entity of Norway
Q103817|indigenous people
Q50705|square number
Q24668268|fictional mouse or rat
Q3238833|independent school
Q2207288|craft
Q15642541|human-geographic territorial entity
Q765994|group object
Q18669875|incident
Q11618417|LAU 2
Q14406742|comic book series
Q1697305|narrative motif
Q2908004|powder
Q12737077|occupation
Q192078|lenticular galaxy
Q2434238|heritage
Q240651|prime element
Q15980953|fiction series
Q23442|island
Q3511065|biological sequence
Q1207505|quality
Q1161161|M-type star
Q204886|federalism
Q6498784|mathematical expression
Q102205|fluid
Q15056995|aircraft model
Q523|star
Q846882|sources of law
Q1022867|minor planet
Q1792644|art style
Q17141406|positioning system
Q3435941|administrative territorial entity of Croatia
Q7243147|primary legislation
Q9138795|acetylene
Q855451|administrative territorial entity of Poland
Q28083137|football team
Q188460|natural resource
Q6418772|subdivision of the Byzantine Empire
Q1088552|Catholic church
Q15063111|administrative territorial entity of Burkina Faso
Q483110|stadium
Q18557436|disease of anatomical entity
Q43099500|performing arts production
Q47311934|Fleet
Q4897819|role
Q132821|murder
Q918346|election in the United Kingdom
Q14547231|international sporting event
Q52063183|classical state of matter
Q1875621|aircraft class
Q8502|mountain
Q49447|world view
Q49703|sacrament
Q215627|person
Q216353|title
Q46831|mountain range
Q1406|Microsoft Windows
Q16510064|sporting event
Q7933607|viral phenomenon
Q59163902|musical production
Q3788231|Municipal government in Canada
Q230855|physical state
Q55427767|Reproductive toxicant
Q3320743|title of honor
Q34038|waterfall
Q2977|cathedral
Q11158|acid
Q5175225|costumed character
Q5078274|sketch
Q45103187|scientific organisation
Q11424|film
Q15229207|sports award
Q101991|inflammation
Q36458|multicellular organism
Q2620513|maritime disaster
Q7174|democracy
Q15631850|districts and some cities of Germany
Q960648|point of interest
Q13698|puzzle
Q676|prose
Q17197366|type of organisation
Q20528428|federative entity of Mexico
Q24034552|mathematical concept
Q747691|Natural
Q375928|lower house
Q1183543|device
Q16917|hospital
Q1497375|ensemble
Q7128792|combat sport
Q427626|taxonomic rank
Q51845395|memorial column
Q44597158|health specialty
Q1673189|irregular military
Q13381310|local council
Q524648|language change
Q811979|architectural structure
Q241317|computing platform
Q2365748|administrative territorial entity of India
Q286583|manifestation
Q15708736|state authority
Q112099|island nation
Q13396669|province-level division
Q41719|hypothesis
Q14947863|parlour game
Q34394|belief
Q3918|university
Q1344963|world championship
Q949801|rotorcraft
Q570|loudspeaker
Q7366|song
Q4384751|folk culture
Q161598|groundwater
Q39816|valley
Q478798|image
Q30307328|mythological dog
Q267596|ancient Greek temple
Q200325|history of the world
Q1417728|trade name
Q19790488|monohydric alcohol
Q8063|rock
Q5214867|federal territory
Q15944511|association football team
Q2055880|passenger ship
Q7257916|public institution of the United States
Q1190554|occurrence
Q6008527|undergraduate degree
Q42948|wall
Q15623966|administrative territorial entity of Qatar
Q1136525|snow storm
Q911916|intensive or extensive property
Q422695|awareness day
Q1186952|interactive media
Q15383322|culture award
Q49614|nickname
Q186393|counterpoint
Q12909644|political ideology
Q583865|territorial collectivity of France
Q67016056|news magazine
Q11438|solid
Q189819|ritual
Q1875651|airborne observatory
Q179461|religious text
Q89181204|Catholic monastic order
Q3240715|crater
Q17489659|group of works
Q52551684|historical geographic location
Q132241|festival
Q1124198|affection
Q5438003|fatty acid amide
Q17990971|public enterprise
Q16513904|Norse mythical character
Q482810|special city
Q1416431|financial intermediary
Q114106|metasearch engine
Q18760388|retail building
Q4049983|cardinality
Q12140|medication
Q841628|social stratification
Q3455524|administrative region
Q47574|unit of measurement
Q740752|transport company
Q841418|strategic bombing
Q20639857|amateur sport team
Q2061186|religious order
Q1572121|image file format
Q3117863|isolated human group
Q191907|carotenoid
Q2342494|collectible
Q171558|accident
Q559618|fictional universe
Q1166625|mathematical problem
Q179700|statue
Q203323|administrative territorial entity of Ukraine
Q11771944|civil service
Q6881511|enterprise
Q634540|steep grade railway
Q3500606|musical structure
Q1528166|unmanned spacecraft
Q2910675|unfinished creative work
Q2015628|open space
Q121750|gas giant
Q16110|region of Italy
Q7784285|thin group
Q64418|artillery
Q2324993|state power
Q146491|criminal law
Q1935049|military school
Q15069452|Natura 2000 protected area
Q11271835|state capital
Q748019|scientific society
Q657449|parade
Q4431094|special collections
Q183905|descendant
Q51621|canonization
Q848944|merchant vessel
Q19310814|verse poetry
Q1639378|social system
Q30250610|object in the outer solar system
Q170483|sailing ship
Q22721|Regierungsbezirk
Q5549724|administrative territorial entity of Cuba
Q143210|religious experience
Q7311343|religious corporation
Q1267889|waterway
Q1849719|municipal formation in Russia
Q44405|theocracy
Q22652|green space
Q6073630|irregular warfare
Q95074|fictional character
Q23002037|public educational institution
Q8261|novel
Q5589178|regime
Q2593744|fictional creature
Q11396960|production company
Q12973014|sports team
Q5358404|electronic page
Q86746756|medicinal product
Q47457972|saturated silicon hydride
Q531152|declarative programming
Q3539920|three-masted ship
Q2623243|conceptual model
Q537127|road bridge
Q1211427|academia
Q4929239|data collection
Q5510053|fusillade
Q31235|remake
Q10737|suicide
Q1993723|administrative territorial entity of the Ottoman Empire
Q1172284|data set
Q246672|mathematical object
Q2465506|separation of concerns
Q7269|monarchy
Q87346013|carbohydrate binding proteins
Q2684591|statement
Q190065|inorganic compound
Q23498|archaeology
Q59157198|online resource
Q50379782|physiological effect of drugs
Q2736507|water feature
Q17270000|football club
Q27863646|mythical people
Q39546|tool
Q25296884|transborder entity
Q1443316|Christmas music
Q9748|concerto
Q17362350|planet of the Solar System
Q31629|type of sport
Q4235019|space object
Q1368|money
Q11032|newspaper
Q272404|finite set
Q1093954|nomen illegitimum
Q1251441|leader
Q5056668|lodging
Q20026787|chemical component
Q35221|reflecting telescope
Q11028|information
Q82821|tradition
Q23649976|content rating category
Q2001676|military offensive
Q2996394|biological process
Q2188189|musical work
Q3055380|intestinal disease
Q7603708|legislature of a constituent state
Q7777570|theatrical production
Q1251001|dose–response relationship
Q22808404|station located on surface
Q29017578|predator
Q285181|eparchy
Q11917457|administrative territorial entity of Catalonia
Q4818021|attack submarine
Q552345|insignia
Q279118|wooden house
Q209190|low pressure area
Q21857994|giant planet
Q18500527|airplane with 2 engines
Q3565868|rail transport
Q13539802|place with town rights and privileges
Q15411548|computing infrastructure
Q1640824|inscription
Q14946528|conflation
Q1478437|association football competition
Q53060|gate
Q2047938|adverse effect
Q13580678|multi-sport club
Q493522|municipality of Belgium
Q5127848|class
Q1145276|fictional country
Q9392635|carbonyl compound
Q11563|number
Q19730508|former municipality
Q7094076|online database
Q4989906|monument
Q8432|civilization
Q15239622|disputed territory
Q5875|giant star
Q1071|geography
Q12139612|list
Q4042967|sexuality
Q3042547|administrative territorial entity of Argentina
Q87324999|serine proteases
Q25696292|astronomy classification
