Type	Depth	Parent
dbo:CoalPit	3	dbo:Mine
dbo:PoliticalConcept	2	dbo:TopicalConcept
dbo:DigitalCamera	3	dbo:Camera
dbo:Event	1	owl:Thing
dbo:Band	4	dbo:Group
dbo:Regency	6	dbo:GovernmentalAdministrativeRegion
dbo:Country	3	dbo:PopulatedPlace
dbo:BullFighter	4	dbo:Athlete
dbo:Fencer	4	dbo:Athlete
dbo:HorseRace	5	dbo:Race
dbo:Fish	4	dbo:Animal
dbo:Magazine	4	dbo:PeriodicalLiterature
dbo:Galaxy	3	dbo:CelestialBody
dbo:Manhwa	4	dbo:Comic
dbo:OrganisationMember	3	dbo:Person
dbo:TelevisionSeason	2	dbo:Work
dbo:Case	2	dbo:UnitOfWork
dbo:Taxon	2	dbo:TopicalConcept
dbo:LawFirm	4	dbo:Company
dbo:MotorRace	5	dbo:Race
dbo:WaterwayTunnel	5	dbo:RouteOfTransportation
dbo:Ocean	4	dbo:BodyOfWater
dbo:Airport	4	dbo:Infrastructure
dbo:Boxer	4	dbo:Athlete
dbo:Fern	4	dbo:Plant
dbo:NarutoCharacter	4	dbo:FictionalCharacter
dbo:SoccerPlayer	4	dbo:Athlete
dbo:Fashion	2	dbo:TopicalConcept
dbo:Island	3	dbo:PopulatedPlace
dbo:Openswarm	4	dbo:Swarm
dbo:NaturalPlace	2	dbo:Place
dbo:GraveMonument	3	dbo:Monument
dbo:SoapCharacter	4	dbo:FictionalCharacter
dbo:Agglomeration	3	dbo:PopulatedPlace
dbo:CollegeCoach	4	dbo:Coach
dbo:HumanGene	3	dbo:Gene
dbo:Muscle	2	dbo:AnatomicalStructure
dbo:InformationAppliance	2	dbo:Device
dbo:Psychologist	3	dbo:Person
dbo:Stream	4	dbo:BodyOfWater
dbo:RecordOffice	4	dbo:Non-ProfitOrganisation
dbo:SportsManager	3	dbo:Person
dbo:Surfer	4	dbo:Athlete
dbo:Hospital	4	dbo:Building
dbo:HotSpring	3	dbo:NaturalPlace
dbo:Law	3	dbo:WrittenWork
dbo:Chef	3	dbo:Person
dbo:Philosopher	3	dbo:Person
dbo:SystemOfLaw	2	dbo:TopicalConcept
dbo:BiologicalDatabase	3	dbo:Database
dbo:Church	5	dbo:ReligiousBuilding
dbo:Tunnel	3	dbo:ArchitecturalStructure
dbo:Rower	4	dbo:Athlete
dbo:Ginkgo	4	dbo:Plant
dbo:Valley	3	dbo:NaturalPlace
dbo:Coach	3	dbo:Person
dbo:Writer	3	dbo:Person
dbo:Automobile	2	dbo:MeanOfTransportation
dbo:Ideology	2	dbo:TopicalConcept
dbo:SupremeCourtOfTheUnitedStatesCase	4	dbo:LegalCase
dbo:Standard	2	dbo:TopicalConcept
dbo:Swarm	3	dbo:CelestialBody
dbo:TeamSport	3	dbo:Sport
dbo:Community	3	dbo:PopulatedPlace
dbo:CanadianFootballTeam	4	dbo:SportsTeam
dbo:RadioStation	4	dbo:Broadcaster
dbo:Death	4	dbo:PersonalEvent
dbo:SoccerManager	4	dbo:SportsManager
dbo:Poem	3	dbo:WrittenWork
dbo:Politician	3	dbo:Person
dbo:Comedian	4	dbo:Artist
dbo:ComicsCreator	4	dbo:Artist
dbo:Monarch	3	dbo:Person
dbo:Road	5	dbo:RouteOfTransportation
dbo:TramStation	5	dbo:Station
dbo:PhilosophicalConcept	2	dbo:TopicalConcept
dbo:PlayboyPlaymate	3	dbo:Person
dbo:TelevisionPersonality	3	dbo:Person
dbo:Device	1	owl:Thing
dbo:Volcano	3	dbo:NaturalPlace
dbo:Newspaper	4	dbo:PeriodicalLiterature
dbo:AmericanFootballPlayer	5	dbo:GridironFootballPlayer
dbo:AcademicJournal	4	dbo:PeriodicalLiterature
dbo:TableTennisPlayer	4	dbo:Athlete
dbo:Artwork	2	dbo:Work
dbo:VolleyballPlayer	4	dbo:Athlete
dbo:Non-ProfitOrganisation	3	dbo:Organisation
dbo:Sea	4	dbo:BodyOfWater
dbo:Cleric	3	dbo:Person
dbo:BeautyQueen	3	dbo:Person
dbo:School	4	dbo:EducationalInstitution
dbo:Region	3	dbo:PopulatedPlace
dbo:LightNovel	5	dbo:Novel
dbo:SiteOfSpecialScientificInterest	2	dbo:Place
dbo:SnookerPlayer	4	dbo:Athlete
dbo:IceHockeyLeague	4	dbo:SportsLeague
dbo:PersonFunction	1	owl:Thing
dbo:MusicalArtist	4	dbo:Artist
dbo:Entomologist	4	dbo:Scientist
dbo:PoliticalParty	3	dbo:Organisation
dbo:Presenter	3	dbo:Person
dbo:Watermill	4	dbo:Mill
dbo:Database	2	dbo:Work
dbo:ChartsPlacements	1	owl:Thing
dbo:EthnicGroup	1	owl:Thing
dbo:InternationalFootballLeagueEvent	4	dbo:SportsEvent
dbo:BaseballTeam	4	dbo:SportsTeam
dbo:Holiday	1	owl:Thing
dbo:Insect	4	dbo:Animal
dbo:Mineral	2	dbo:ChemicalSubstance
dbo:MusicalWork	2	dbo:Work
dbo:SoccerClubSeason	3	dbo:SportsTeamSeason
dbo:MeanOfTransportation	1	owl:Thing
dbo:Annotation	3	dbo:WrittenWork
dbo:UnitOfWork	1	owl:Thing
dbo:Mosque	5	dbo:ReligiousBuilding
dbo:NationalCollegiateAthleticAssociationAthlete	4	dbo:Athlete
dbo:MotorsportRacer	4	dbo:Athlete
dbo:Gene	2	dbo:Biomolecule
dbo:Referee	3	dbo:Person
dbo:Reptile	4	dbo:Animal
dbo:Satellite	3	dbo:CelestialBody
dbo:CanadianFootballPlayer	5	dbo:GridironFootballPlayer
dbo:GovernmentAgency	3	dbo:Organisation
dbo:Flag	1	owl:Thing
dbo:RallyDriver	6	dbo:RacingDriver
dbo:Bacteria	2	dbo:Species
dbo:ArcherPlayer	4	dbo:Athlete
dbo:Cardinal	4	dbo:Cleric
dbo:Mollusca	4	dbo:Animal
dbo:Stadium	4	dbo:SportFacility
dbo:Wine	3	dbo:Beverage
dbo:NationalSoccerClub	5	dbo:SoccerClub
dbo:GovernmentCabinet	4	dbo:GovernmentAgency
dbo:Museum	4	dbo:Building
dbo:FigureSkater	5	dbo:WinterSportPlayer
dbo:Horse	5	dbo:Mammal
dbo:Manga	4	dbo:Comic
dbo:College	4	dbo:EducationalInstitution
dbo:NascarDriver	6	dbo:RacingDriver
dbo:PeriodicalLiterature	3	dbo:WrittenWork
dbo:Vein	2	dbo:AnatomicalStructure
dbo:Plant	3	dbo:Eukaryote
dbo:Film	2	dbo:Work
dbo:ConcentrationCamp	2	dbo:Place
dbo:WaterPoloPlayer	4	dbo:Athlete
dbo:SkiArea	4	dbo:SportFacility
dbo:Guitar	3	dbo:Instrument
dbo:Vicar	4	dbo:Cleric
dbo:NordicCombined	5	dbo:WinterSportPlayer
dbo:Swimmer	4	dbo:Athlete
dbo:Fiefdom	6	dbo:HistoricalAreaOfAuthority
dbo:PrimeMinister	4	dbo:Politician
dbo:Creek	5	dbo:Stream
dbo:Athlete	3	dbo:Person
dbo:Colour	1	owl:Thing
dbo:Escalator	3	dbo:On-SiteTransportation
dbo:Factory	4	dbo:Building
dbo:ConveyorSystem	3	dbo:On-SiteTransportation
dbo:WrittenWork	2	dbo:Work
dbo:SnookerChamp	5	dbo:SnookerPlayer
dbo:Ambassador	3	dbo:Person
dbo:Parliament	3	dbo:Organisation
dbo:MovingWalkway	3	dbo:On-SiteTransportation
dbo:SnookerWorldRanking	2	dbo:SportCompetitionResult
dbo:Venue	3	dbo:ArchitecturalStructure
dbo:RadioProgram	2	dbo:Work
dbo:Royalty	3	dbo:Person
dbo:Biologist	4	dbo:Scientist
dbo:Desert	3	dbo:NaturalPlace
dbo:BasketballTeam	4	dbo:SportsTeam
dbo:ScreenWriter	4	dbo:Writer
dbo:Lawyer	3	dbo:Person
dbo:Planet	3	dbo:CelestialBody
dbo:SpeedSkater	5	dbo:WinterSportPlayer
dbo:Deputy	4	dbo:Politician
dbo:MovieDirector	3	dbo:Person
dbo:Family	2	dbo:Agent
dbo:Gate	3	dbo:ArchitecturalStructure
dbo:YearInSpaceflight	2	dbo:TimePeriod
dbo:Shrine	5	dbo:ReligiousBuilding
dbo:Vodka	3	dbo:Beverage
dbo:Population	1	owl:Thing
dbo:Village	4	dbo:Settlement
dbo:Theatre	4	dbo:Venue
dbo:Drama	3	dbo:WrittenWork
dbo:WinterSportPlayer	4	dbo:Athlete
dbo:ProtectedArea	2	dbo:Place
dbo:PenaltyShootOut	1	owl:Thing
dbo:RocketEngine	3	dbo:Engine
dbo:Canal	5	dbo:Stream
dbo:Employer	2	dbo:Agent
dbo:MusicGenre	3	dbo:Genre
dbo:AmusementParkAttraction	3	dbo:ArchitecturalStructure
dbo:Year	2	dbo:TimePeriod
dbo:Priest	4	dbo:Cleric
dbo:Congressman	4	dbo:Politician
dbo:MusicComposer	4	dbo:Writer
dbo:Sport	2	dbo:Activity
dbo:BackScene	5	dbo:MusicalArtist
dbo:Nerve	2	dbo:AnatomicalStructure
dbo:ComicStrip	4	dbo:Comic
dbo:SambaSchool	3	dbo:Organisation
dbo:Hotel	4	dbo:Building
dbo:FashionDesigner	4	dbo:Artist
dbo:Library	4	dbo:Building
dbo:Organ	3	dbo:Instrument
dbo:Profession	2	dbo:PersonFunction
dbo:Model	3	dbo:Person
dbo:Ligament	2	dbo:AnatomicalStructure
dbo:BobsleighAthlete	5	dbo:WinterSportPlayer
dbo:Activity	1	owl:Thing
dbo:CityDistrict	4	dbo:Settlement
dbo:Winery	4	dbo:Company
dbo:NationalFootballLeagueEvent	4	dbo:SportsEvent
dbo:RecordLabel	4	dbo:Company
dbo:MetroStation	5	dbo:Station
dbo:VoiceActor	5	dbo:Actor
dbo:Olympics	4	dbo:SportsEvent
dbo:Attack	3	dbo:SocietalEvent
dbo:Cat	5	dbo:Mammal
dbo:CanadianFootballLeague	4	dbo:SportsLeague
dbo:PrehistoricalPeriod	2	dbo:TimePeriod
dbo:Brewery	4	dbo:Company
dbo:Food	1	owl:Thing
dbo:Song	3	dbo:MusicalWork
dbo:MathematicalConcept	2	dbo:TopicalConcept
dbo:SportsClub	3	dbo:Organisation
dbo:Play	3	dbo:WrittenWork
dbo:CapitalOfRegion	5	dbo:City
dbo:Album	3	dbo:MusicalWork
dbo:Ratio	2	dbo:Relationship
dbo:ComedyGroup	4	dbo:Group
dbo:AthleticsPlayer	4	dbo:Athlete
dbo:File	3	dbo:Document
dbo:Meeting	3	dbo:SocietalEvent
dbo:Sculpture	3	dbo:Artwork
dbo:NuclearPowerStation	5	dbo:PowerStation
dbo:SubMunicipality	6	dbo:GovernmentalAdministrativeRegion
dbo:Deanery	6	dbo:ClericalAdministrativeRegion
dbo:Airline	4	dbo:Company
dbo:VolleyballLeague	4	dbo:SportsLeague
dbo:Media	1	owl:Thing
dbo:Cape	3	dbo:NaturalPlace
dbo:GrandPrix	4	dbo:SportsEvent
dbo:MountainPass	3	dbo:NaturalPlace
dbo:Work	1	owl:Thing
dbo:Glacier	3	dbo:NaturalPlace
dbo:Rocket	2	dbo:MeanOfTransportation
dbo:Blazon	1	owl:Thing
dbo:Aristocrat	3	dbo:Person
dbo:Bird	4	dbo:Animal
dbo:SocietalEvent	2	dbo:Event
dbo:GolfPlayer	4	dbo:Athlete
dbo:BowlingLeague	4	dbo:SportsLeague
dbo:Saint	4	dbo:Cleric
dbo:HistoricalPeriod	2	dbo:TimePeriod
dbo:SquashPlayer	4	dbo:Athlete
dbo:PokerPlayer	4	dbo:Athlete
dbo:Altitude	1	owl:Thing
dbo:TrainCarriage	2	dbo:MeanOfTransportation
dbo:Article	3	dbo:WrittenWork
dbo:Anime	3	dbo:Cartoon
dbo:Book	3	dbo:WrittenWork
dbo:Language	1	owl:Thing
dbo:Restaurant	4	dbo:Building
dbo:GeologicalPeriod	2	dbo:TimePeriod
dbo:OldTerritory	4	dbo:Territory
dbo:CollectionOfValuables	2	dbo:Work
dbo:Diocese	6	dbo:ClericalAdministrativeRegion
dbo:Game	2	dbo:Activity
dbo:Legislature	3	dbo:Organisation
dbo:MovieGenre	3	dbo:Genre
dbo:Actor	4	dbo:Artist
dbo:Egyptologist	3	dbo:Person
dbo:Amphibian	4	dbo:Animal
dbo:GolfLeague	4	dbo:SportsLeague
dbo:Pyramid	3	dbo:ArchitecturalStructure
dbo:CareerStation	2	dbo:TimePeriod
dbo:Skyscraper	4	dbo:Building
dbo:Group	3	dbo:Organisation
dbo:ClericalOrder	4	dbo:ReligiousOrganisation
dbo:WindMotor	4	dbo:Mill
dbo:LifeCycleEvent	2	dbo:Event
dbo:Drug	2	dbo:ChemicalSubstance
dbo:Tournament	4	dbo:SportsEvent
dbo:Train	2	dbo:MeanOfTransportation
dbo:Reference	4	dbo:Annotation
dbo:Windmill	4	dbo:Mill
dbo:SportsLeague	3	dbo:Organisation
dbo:BoardGame	3	dbo:Game
dbo:BadmintonPlayer	4	dbo:Athlete
dbo:Currency	1	owl:Thing
dbo:ProgrammingLanguage	2	dbo:Language
dbo:ChessPlayer	4	dbo:Athlete
dbo:RugbyPlayer	4	dbo:Athlete
dbo:DartsPlayer	4	dbo:Athlete
dbo:Person	2	dbo:Agent
dbo:Architect	3	dbo:Person
dbo:Globularswarm	4	dbo:Swarm
dbo:HandballLeague	4	dbo:SportsLeague
dbo:Dog	5	dbo:Mammal
dbo:PoliticalFunction	2	dbo:PersonFunction
dbo:ElectricalSubstation	5	dbo:Station
dbo:Infrastructure	3	dbo:ArchitecturalStructure
dbo:Atoll	4	dbo:Island
dbo:PersonalEvent	3	dbo:LifeCycleEvent
dbo:Motorcycle	2	dbo:MeanOfTransportation
dbo:Divorce	4	dbo:PersonalEvent
dbo:Port	4	dbo:Infrastructure
dbo:NetballPlayer	4	dbo:Athlete
dbo:Statistic	1	owl:Thing
dbo:ReligiousOrganisation	3	dbo:Organisation
dbo:Prefecture	6	dbo:GovernmentalAdministrativeRegion
dbo:SpaceMission	3	dbo:SocietalEvent
dbo:RailwayLine	5	dbo:RouteOfTransportation
dbo:Sound	3	dbo:Document
dbo:CyclingCompetition	4	dbo:SportsEvent
dbo:Street	3	dbo:PopulatedPlace
dbo:Monastery	5	dbo:ReligiousBuilding
dbo:RailwayTunnel	5	dbo:RouteOfTransportation
dbo:CardGame	3	dbo:Game
dbo:Senator	4	dbo:Politician
dbo:ChemicalElement	2	dbo:ChemicalSubstance
dbo:Diploma	1	owl:Thing
dbo:GivenName	2	dbo:Name
dbo:Artery	2	dbo:AnatomicalStructure
dbo:Bay	4	dbo:BodyOfWater
dbo:FieldHockeyLeague	4	dbo:SportsLeague
dbo:Archipelago	3	dbo:NaturalPlace
dbo:Competition	2	dbo:Event
dbo:TennisTournament	5	dbo:Tournament
dbo:Synagogue	5	dbo:ReligiousBuilding
dbo:Project	2	dbo:UnitOfWork
dbo:FootballLeagueSeason	3	dbo:SportsTeamSeason
dbo:Camera	2	dbo:Device
dbo:Judge	3	dbo:Person
dbo:Ship	2	dbo:MeanOfTransportation
dbo:Award	1	owl:Thing
dbo:CelestialBody	2	dbo:Place
dbo:Cemetery	2	dbo:Place
dbo:FormerMunicipality	7	dbo:Municipality
dbo:MartialArtist	4	dbo:Athlete
dbo:HollywoodCartoon	3	dbo:Cartoon
dbo:Earthquake	3	dbo:NaturalEvent
dbo:Musical	3	dbo:MusicalWork
dbo:BeachVolleyballPlayer	5	dbo:VolleyballPlayer
dbo:NCAATeamSeason	3	dbo:SportsTeamSeason
dbo:Star	3	dbo:CelestialBody
dbo:InlineHockeyLeague	4	dbo:SportsLeague
dbo:EurovisionSongContestEntry	4	dbo:Song
dbo:Parish	6	dbo:ClericalAdministrativeRegion
dbo:AmateurBoxer	5	dbo:Boxer
dbo:BrownDwarf	4	dbo:Star
dbo:Bone	2	dbo:AnatomicalStructure
dbo:BoxingStyle	4	dbo:Boxing
dbo:Polysaccharide	2	dbo:Biomolecule
dbo:City	4	dbo:Settlement
dbo:Economist	3	dbo:Person
dbo:HorseRiding	3	dbo:Sport
dbo:Convention	3	dbo:SocietalEvent
dbo:DocumentType	3	dbo:Type
dbo:SpeedwayRider	6	dbo:MotorcycleRider
dbo:Gymnast	4	dbo:Athlete
dbo:ShoppingMall	4	dbo:Building
dbo:Journalist	3	dbo:Person
dbo:Hormone	2	dbo:Biomolecule
dbo:SportFacility	3	dbo:ArchitecturalStructure
dbo:Agent	1	owl:Thing
dbo:Mill	3	dbo:ArchitecturalStructure
dbo:Painting	3	dbo:Artwork
dbo:OlympicResult	2	dbo:SportCompetitionResult
dbo:SportsTeamMember	4	dbo:OrganisationMember
dbo:MilitaryUnit	3	dbo:Organisation
dbo:PublicService	1	owl:Thing
dbo:AnimangaCharacter	5	dbo:ComicsCharacter
dbo:SoccerTournament	5	dbo:Tournament
dbo:Disease	1	owl:Thing
dbo:LiteraryGenre	3	dbo:Genre
dbo:Grape	5	dbo:FloweringPlant
dbo:BodyOfWater	3	dbo:NaturalPlace
dbo:RaceTrack	4	dbo:SportFacility
dbo:HistoricBuilding	4	dbo:Building
dbo:Monument	2	dbo:Place
dbo:Artist	3	dbo:Person
dbo:HorseTrainer	3	dbo:Person
dbo:Canoeist	4	dbo:Athlete
dbo:GeopoliticalOrganisation	3	dbo:Organisation
dbo:MouseGene	3	dbo:Gene
dbo:GrossDomesticProductPerCapita	1	owl:Thing
dbo:ElectionDiagram	1	owl:Thing
dbo:Quote	3	dbo:WrittenWork
dbo:Orphan	3	dbo:Person
dbo:AmericanFootballTeam	4	dbo:SportsTeam
dbo:StillImage	4	dbo:Image
dbo:GaelicGamesPlayer	4	dbo:Athlete
dbo:Novel	4	dbo:Book
dbo:Skater	5	dbo:WinterSportPlayer
dbo:Curler	5	dbo:WinterSportPlayer
dbo:GovernmentalAdministrativeRegion	5	dbo:AdministrativeRegion
dbo:Garden	2	dbo:Place
dbo:ClassicalMusicArtist	5	dbo:MusicalArtist
dbo:Eukaryote	2	dbo:Species
dbo:Professor	4	dbo:Scientist
dbo:VicePresident	4	dbo:Politician
dbo:BaseballLeague	4	dbo:SportsLeague
dbo:HistoricalProvince	7	dbo:Province
dbo:EducationalInstitution	3	dbo:Organisation
dbo:SpaceStation	2	dbo:MeanOfTransportation
dbo:Constellation	3	dbo:CelestialBody
dbo:Skier	5	dbo:WinterSportPlayer
dbo:PoliticianSpouse	3	dbo:Person
dbo:UndergroundJournal	4	dbo:PeriodicalLiterature
dbo:PaintballLeague	4	dbo:SportsLeague
dbo:ClubMoss	4	dbo:Plant
dbo:ClassicalMusicComposition	3	dbo:MusicalWork
dbo:HockeyClub	4	dbo:SportsClub
dbo:Beach	3	dbo:NaturalPlace
dbo:LacrosseLeague	4	dbo:SportsLeague
dbo:SerialKiller	5	dbo:Murderer
dbo:OlympicEvent	5	dbo:Olympics
dbo:ArtistDiscography	3	dbo:MusicalWork
dbo:Abbey	5	dbo:ReligiousBuilding
dbo:Demographics	1	owl:Thing
dbo:FormulaOneRacing	4	dbo:SportsLeague
dbo:SportsEvent	3	dbo:SocietalEvent
dbo:Linguist	3	dbo:Person
dbo:Sculptor	4	dbo:Artist
dbo:Relationship	1	owl:Thing
dbo:Pope	4	dbo:Cleric
dbo:ChemicalCompound	2	dbo:ChemicalSubstance
dbo:Beer	3	dbo:Beverage
dbo:PeriodOfArtisticStyle	2	dbo:TimePeriod
dbo:OverseasDepartment	7	dbo:Department
dbo:AustralianFootballTeam	4	dbo:SportsTeam
dbo:Dike	4	dbo:Infrastructure
dbo:Intercommunality	3	dbo:PopulatedPlace
dbo:NobleFamily	3	dbo:Family
dbo:WorldHeritageSite	2	dbo:Place
dbo:Comic	3	dbo:WrittenWork
dbo:Ski_jumper	5	dbo:WinterSportPlayer
dbo:Arrondissement	6	dbo:GovernmentalAdministrativeRegion
dbo:AmericanFootballLeague	4	dbo:SportsLeague
dbo:SportsTeam	3	dbo:Organisation
dbo:AustralianFootballLeague	4	dbo:SportsLeague
dbo:BroadcastNetwork	4	dbo:Broadcaster
dbo:NobelPrize	2	dbo:Award
dbo:Marriage	4	dbo:PersonalEvent
dbo:HockeyTeam	4	dbo:SportsTeam
dbo:Murderer	4	dbo:Criminal
dbo:Decoration	2	dbo:Award
dbo:WrestlingEvent	4	dbo:SportsEvent
dbo:Municipality	6	dbo:GovernmentalAdministrativeRegion
dbo:Bridge	5	dbo:RouteOfTransportation
dbo:District	6	dbo:GovernmentalAdministrativeRegion
dbo:Mountain	3	dbo:NaturalPlace
dbo:RollerCoaster	4	dbo:AmusementParkAttraction
dbo:CyclingRace	5	dbo:Race
dbo:TrackList	2	dbo:List
dbo:Archive	3	dbo:CollectionOfValuables
dbo:Lock	4	dbo:Infrastructure
dbo:Cave	3	dbo:NaturalPlace
dbo:HandballTeam	4	dbo:SportsTeam
dbo:Scientist	3	dbo:Person
dbo:Humorist	4	dbo:Artist
dbo:Website	2	dbo:Work
dbo:Lymph	2	dbo:AnatomicalStructure
dbo:TelevisionDirector	3	dbo:Person
dbo:ResearchProject	3	dbo:Project
dbo:Locality	3	dbo:PopulatedPlace
dbo:Animal	3	dbo:Eukaryote
dbo:Continent	3	dbo:PopulatedPlace
dbo:Singer	5	dbo:MusicalArtist
dbo:BaseballSeason	3	dbo:SportsTeamSeason
dbo:CricketTeam	4	dbo:SportsTeam
dbo:MemberResistanceMovement	3	dbo:Person
dbo:MilitaryAircraft	3	dbo:Aircraft
dbo:Arena	3	dbo:ArchitecturalStructure
dbo:SoccerLeagueSeason	3	dbo:SportsTeamSeason
dbo:Criminal	3	dbo:Person
dbo:DisneyCharacter	4	dbo:FictionalCharacter
dbo:Surname	2	dbo:Name
dbo:Mammal	4	dbo:Animal
dbo:Medicine	1	owl:Thing
dbo:Election	3	dbo:SocietalEvent
